Taxon_FA,Genera,PhAname,Endemicity,non.endemic,SEN,Taxon,Familie,SIN,FAN,FHN,ZWN,WSN,ZDSF,T,Tv,K,Kv,L,Lv,F,Fv,W,R,Rv,N,Nv,S,M,H,Hv,D,Dv,LF,BD,WT,RO,KS,DA,VA,FS,MA,BZ,BZ.S,BZ.D,BS,MV,SU,DG,GI,GV,LR,EG,AE,EM,VE,CH,JU,JU1,JU2,MP,MP1,MP2,NA.,NA1,NA2,WA,EA,SA,SA1,SA2,SA3,PS,PS1,PS1_txt,PS2,PS2_txt,PS3,PS3_txt,BL,SL,TB,
Adonis_aestivalis,Adonis,Adonis aestivalis,0,1,85,Adonis aestivalis,Ranunculaceae,5800,19.16.5.1,211,1211,386,ZDSF,4.5,I,4,I,3,I,2,I,1,4,I,3,I,,,3,I,3,I,t,s,3,-,rss,At,Sr,zw,,05-juil,5 6 7,3,,-,3,1,mg,B6a,2.1 2.2,7,I/A,4,,VU,CR,CR,CR,CR,CR,CR,CR,CR,RE,VU,EN,RE,RE,-,-,2.31,2.31,Papaveretalia rhoeadis,NA,,,,,,,
Avena_fatua,Avena,Avena fatua,0,1,790,Avena fatua,Poaceae,56900,139.31.3,2744,254,2278,ZDSF,4,I,4,I,4,I,2.5,I,1,4,I,3,I,,,3,I,3,I,t,s,3,-,crr,Me,Kv,zw,,06-ao_t,6 7 8,3,an au,1,3,2,e,C2,2.1 2.2 2.5 7.4,7,A,4,,NT,NT,VU,NT,NT,NT,NT,VU,VU,VU,NT,VU,VU,VU,-,RE,2.31,NA,,NA,,2.31,Papaveretalia rhoeadis,,,,
Chenopodium_ficifolium,Chenopodium,Chenopodium ficifolium,0,1,1531,Chenopodium ficifolium,Chenopodiaceae,108900,35.3.11,300,922,212,ZDSF,4.5,I,3,I,4,I,3.5,I,2,4,I,4,I,,,3,I,3,I,t,s,3,-,rrr,Bo At,Kv,zw,,07-sept,7 8 9,3,an,-,3,1,e,B6a,2.1 2.2 2.5 2.7,7,A,5,<,NT,EN,EN,-,VU,EN,VU,NT,VU,NT,NT,EN,EN,EN,-,EN,2.112,NA,,NA,,2.112,Chenopodion rubri,,,,
Elymus_repens,Elymus,Elymus repens,0,1,2089,Elymus repens,Poaceae,146560,139.23.3,2685,390,2266,ZDSF,3.5,II,3,I,4,II,3,II,3,4,II,4,I,s,m,1,II,3,II,g,t,3,Rs,ccs,Dy En,Au Sr,zw,,06-ao_t,6 7 8,3,an,3,3,4,h e,B3,2.1 2.2 2.5 6.3,7,I,3,=,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,11.2 5.2 2.3,11.2,Molinio-Arrhenatheretea,5.2,Agropyretea intermedii-repentis,2.3,Stellarietea mediae,,,,
Silene_dioica,Silene,Silene dioica,0,1,5619,Silene dioica,Caryophyllaceae,394900,38.22.31,414,954,321,ZDSF,3,II,3,I,3,I,3.5,I,2,3,II,4,II,,,3,I,3,I,h-k,w,3,Wv,crs,Bo En,Sr Ws,di,p3, 7*,04-sept,4 5 6 7 8 9,6,ps me,3,3,3,e,D5,6.3 6.7 7.2 9.2,8,I,3,*,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,11.241 11.242 11.514,11.241,Arrhenatherion elatioris,11.242,Triseto-Polygonion bistortae,11.514,Adenostylion,,,
Silene_vulgaris,Silene,Silene vulgaris,0,1,5662,Silene vulgaris,Caryophyllaceae,397300,38.22.15.1,419,965,310,ZDSF,3,II,4,I,4,I,2.5,I,1,3,II,2,I,s,m,3,I,3,I,h,s,3,Wv,crs,Bo En,Sr Ws,mo zw,,06-sept,6 7 8 9,4,au? ph me (ps),2,3,3,e,D3,3.3 6.2 6.3 7.2,6,I,3,=,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,11.241 9.1 10.21,11.241,Arrhenatherion elatioris,9.1,Festuco-Brometea,10.21,Seslerietalia caeruleae,,,,
Sorghum_halepense,Sorghum,Sorghum halepense,0,1,5747,Sorghum halepense,Poaceae,402800,139.78.1,2805,164,2359,ZDSF,5,I,2,I,4,I,2,I,2,4,I,4,I,,,3,I,3,I,g,s,3,Rh,ccc,Bo Dy,Au,zw,,06-oct,6 7 8 9 10,5,an?,-,3,3,e,A4a,2.1 2.2 2.9,7,Jn,4,<,(LC),(EN),(EN),(RE),(VU),(EN),(VU),(VU),(VU),(VU),(VU),-,(LC),(LC),-,-,2.322,NA,,NA,,2.322,Panico-Setarion,,,,
Vaccaria_hispanica,Vaccaria,Vaccaria hispanica,0,1,6190,Vaccaria hispanica,Caryophyllaceae,434300,38.27.1,396,982,331,ZDSF,4,II,4,I,4,I,1.5,I,2,4,I,3,I,,,3,I,3,I,t,s,3,-,rrs,Me,Kv,zw,p1,06-juil,6 7,2,au ps,-,3,1,e,D1d,2.1 2.2,7,I/A,4,,CR,CR,RE,CR,CR,CR,CR,RE,RE,RE,CR,RE,CR,CR,RE,RE,2.312,NA,,NA,,2.312,Caucalidion lappulae,,,,
Ambrosia_artemisiifolia,Ambrosia,Ambrosia artemisiifolia,0,1,401,Ambrosia artemisiifolia,Asteraceae,29000,124.26.1,2104,3032,-,ZDSF,5,I,2,I,4,II,2,I,1,3,I,4,I,s,,3,I,3,I,t,s,3,-,crr,At,Kv,mo,p1,08-oct,8 9 10,3,an,-,4,3,mg,A2c,2.1 2.2 2.5 2.7,7,Ns,5,<,(NT),(NT),(NT),-,(VU),(VU),(VU),(EN),(DD),(EN),-,(CR),(EN),(EN),-,-,2.3b,NA,,NA,,2.3b,Chenopodio-Stellarienea mediae,,,,
Daucus_carota,Daucus,Daucus carota,0,1,1885,Daucus carota,Apiaceae,133900,97.64.1,1486,2139,1205,ZDSF,4,II,3,I,4,I,2.5,I,1,4,II,2,I,s,m,3,I,3,I,k-t,w,3,Wv,rss,Ep Dy,Kv,cl ve,p3,06-ao_t,6 7 8,3,ca my me hm,3,4,2,h e,C2,2.2 2.5 6.2 6.3,6,A,3,=,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,5.112,NA,,NA,,5.112,Dauco-Melilotion,,,A H,
