Taxon_FA,Genera,PhAname,Endemicity,non.endemic,SEN,Taxon,Familie,SIN,FAN,FHN,ZWN,WSN,ZDSF,T,Tv,K,Kv,L,Lv,F,Fv,W,R,Rv,N,Nv,S,M,H,Hv,D,Dv,LF,BD,WT,RO,KS,DA,VA,FS,MA,BZ,BZ.S,BZ.D,BS,MV,SU,DG,GI,GV,LR,EG,AE,EM,VE,CH,JU,JU1,JU2,MP,MP1,MP2,NA.,NA1,NA2,WA,EA,SA,SA1,SA2,SA3,PS,PS1,PS1_txt,PS2,PS2_txt,PS3,PS3_txt,BL,SL,TB,
Cardamine_pratensis,Cardamine,Cardamine pratensis,0,1,1152,Cardamine pratensis,Brassicaceae,79800,54.22.12,657,1369,500,ZDSF,3.5,I,2,I,3,II,3.5,II,2,3,II,4,I,,,3,II,1,I,h,w,1,Rs,ccs,Au En,Sw,zw,,04-juin,4 5 6,3,,4,2,3,tg h e,D3,1.3 2.3 6.3 9.2,8,I,3,=,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,NT,LC,NT,NT,NT,-,11.241 11.231,11.241,Arrhenatherion elatioris,11.231,Molinion,,,,,,
Drosera_rotundifolia,Drosera,Drosera rotundifolia,0,1,2017,Drosera rotundifolia,Droseraceae,142300,47.1.1,517,1443,607,ZDSF,3,II,3,I,4,I,4,I,2,1,II,1,I,,m,5,I,1,I,h.ff,t,1,Rs,sss,Me,Sw,cl zw,d,07-ao_t,7 8,2,au my,-,2,1,mg h,B3a,4.1 5.1 5.2,5,I,2,,NT,VU,VU,-,VU,EN,VU,NT,NT,NT,EN,VU,NT,NT,VU,VU,12.111 7.211 7.212,12.111,Sphagnion medii,7.211,Rhynchosporion albae,7.212,Caricion lasiocarpae,,139,,
Gentiana_germanica,Gentiana,Gentiana germanica,0,1,2635,Gentiana germanica,Gentianaceae,183800,98.4.38,1533,2388,1309,ZDSF,3,II,2,I,4,I,2.5,I,3,4,I,2,I,,,3,I,1,I,k-t,w,1,-,crs,Bo En,Kv,zw,,08-oct,8 9 10,3,me,2,2,2,,E5,5.1 6.2 6.3 6.5,3,I,2,*,NT,NT,NT,VU,VU,EN,VU,NT,NT,NT,VU,DD,DD,DD,DD,DD,9.135,NA,,NA,,9.135,Mesobromion,,274,,
Potentilla_palustris,Potentilla,Potentilla palustris,0,1,4572,Potentilla palustris,Rosaceae,323800,63.13.2,938,1566,709,ZDSF,3,I,3,I,4,I,5,I,2,2,II,2,I,,,5,I,1,I,g,s,1,Rh,ccs,Hy En,As Kr,zw,p5,05-juil,5 6 7,3,me my,1,2,2,e,B3,1.3 5.1 5.2,5,I,2,,LC,LC,LC,VU,VU,VU,VU,NT,NT,NT,VU,NT,EN,EN,EN,-,7.212 6.112,7.212,Caricion lasiocarpae,6.112,Magnocaricion,,,,,,
Ranunculus_flammula,Ranunculus,Ranunculus flammula,0,1,4857,Ranunculus flammula,Ranunculaceae,338400,19.17.37,179,1178,411,ZDSF,3.5,I,2,I,4,II,4.5,I,3,3,II,2,I,,m,5,II,1,I,h,t,1,Rs,css,Dy En,Sw,zw,,05-sept,5 6 7 8 9,5,,3,2,4,tg,D3,1.3 5.1 6.3,5,I,2,*,NT,VU,VU,VU,NT,NT,NT,NT,NT,NT,RE,EN,VU,VU,-,-,11.233 6.112 7.23,11.233,Calthion palustris,6.112,Magnocaricion,7.23,Caricetalia davallianae,,,,
Rhinanthus_minor,Rhinanthus,Rhinanthus minor,0,1,4938,Rhinanthus minor,Scrophulariaceae,344800,114.28.1,1846,2699,1560,ZDSF,3,II,3,I,4,I,3.5,I,3,3,I,2,I,,,5,I,1,I,t.hp,s,1,-,rrs,Me,Kv,zw,p1,05-sept,5 6 7 8 9,5,au me le,2,2,2,tg,B6b,5.1 6.2 6.3 6.5,5,I/A,2,*,LC,LC,LC,VU,NT,VU,NT,LC,LC,LC,LC,LC,LC,LC,LC,LC,11.231 10.412,11.231,Molinion,10.412,Nardion strictae,,,,,A,
Holosteum_umbellatum,Holosteum,Holosteum umbellatum,0,1,2945,Holosteum umbellatum,Caryophyllaceae,207200,38.7.1.1,357,1033,264,ZDSF,4.5,I,4,I,4,I,1.5,I,3,2,II,3,I,,,3,I,1,I,t,w s,1,-,rrs,Bo Dy,Kv,zw,p2,03-mai,3 4 5,3,,-,3,1,e,C2,2.1 3.1 3.2 6.2,7,I/A,3,,LC,EN,EN,EN,EN,EN,EN,EN,RE,EN,LC,CR,EN,EN,-,-,9.141,NA,,NA,,9.141,Ononidion striatae,,,,
Spergularia_rubra,Spergularia,Spergularia rubra,0,1,5765,Spergularia rubra,Caryophyllaceae,404700,38.19.4,320,1078,299,ZDSF,3.5,II,3,I,4,I,1.5,II,3,2,I,2,I,s,,3,I,1,I,k-t,w,1,Wv,rrr,Bo En,Sr,zw,p1,05-sept,5 6 7 8 9,5,,-,3,2,,B4,2.1 2.2 2.5 2.6,7,A,3,,LC,EN,EN,EN,EN,EN,EN,EN,EN,EN,LC,VU,LC,LC,NT,NT,2.35,NA,,NA,,2.35,Polygono aviculari-Poetalia annuae,,,,
Agrostis_canina,Agrostis,Agrostis canina,0,1,124,Agrostis canina,Poaceae,8500,139.47.1,2758,195,2303,ZDSF,3.5,II,2,I,4,I,4,I,3,2,I,2,I,s,,5,II,1,II,h,t,1,-,crs,Me En,Ao Ho,zw,,06-ao_t,6 7 8,3,an,3,4,3,e,B3a,1.4 5.1 5.2 6.3,5,I,2,,NT,VU,VU,VU,NT,NT,NT,NT,NT,NT,-,VU,NT,NT,-,-,7.221,7.221,Caricion fuscae,NA,,,,,,,
Carex_remota,Carex,Carex remota,0,1,1324,Carex remota,Cyperaceae,93300,138.17.20,2533,485,2438,ZDSF,3.5,I,2,I,2,II,4,I,3,3,II,3,I,,m,3,I,1,I,h,t,1,Rs,css,Me,Ho Sr,zw,,05-juil,5 6 7,3,an,1,4,3,e,B6,2.6 4.2 9.1 9.2,1,I,3,=,LC,LC,LC,LC,LC,LC,LC,LC,NT,LC,CR,NT,LC,LC,LC,LC,14.72202 14.721 14.731,14.72202,Carici remotae-Fraxinetum,14.721,Alnion incanae,14.731,Fagion sylvaticae,,,,
Carex_tomentosa,Carex,Carex tomentosa,0,1,1332,Carex tomentosa,Cyperaceae,94800,138.17.71,2559,519,2483,ZDSF,3.5,II,4,I,4,II,3.5,I,3,4,I,2,I,,,3,II,1,I,g-h,s,1,Rs,crs,Me Ep,Au Sr,mo,,04-juin,4 5 6,3,an,2,4,3,e,B6,5.1 6.2 6.3 9.2,1,I,2,,LC,LC,LC,LC,NT,NT,NT,LC,NT,LC,VU,NT,VU,VU,-,-,11.23 14.722,11.23,Molinietalia caeruleae,14.722,Fraxinion excelsioris,,,,,,
Juncus_articulatus,Juncus,Juncus articulatus,0,1,3101,Juncus articulatus,Juncaceae,218100,137.1.24,2449,599,2153,ZDSF,3,I,3,I,4,I,4.5,I,3,3,II,3,I,s,m,3,II,1,I,h,w,1,Rh,crs,Bo Ep,Kr Sr,zw,,06-ao_t,6 7 8,3,an,3,4,3,e,B3,4.1 5.1 5.2 6.3,5,I,2,=,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,7.231 11.233,7.231,Caricion davallianae,11.233,Calthion palustris,,,,,,
Luzula_multiflora,Luzula,Luzula multiflora,0,1,3524,Luzula multiflora,Juncaceae,247100,137.2.3.1,2461,614,2158,ZDSF,3,II,3,I,3,II,2.5,I,3,1,II,2,I,,m,5,I,1,I,h,t,1,Rs,crs,My En,Sr,zw,,05-juin,5 6,2,an,2,4,3,e,B3,2.6 6.4 6.5 7.1,2,I,2,=,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,10.412 10.4 7.221,10.412,Nardion strictae,10.4,Juncetea trifidi,7.221,Caricion fuscae,,,,
Lysimachia_nemorum,Lysimachia,Lysimachia nemorum,0,1,3560,Lysimachia nemorum,Primulaceae,251400,60.7.1,846,2331,1263,ZDSF,3,II,2,I,2,II,3.5,I,3,2,II,3,I,,m,3,I,1,I,h,w,1,Rs,ccs,Au,Kt,zw,,05-juil,5 6 7,3,au my,-,4,3,e,D3,2.6 4.2 6.3 9.2,1,I,2,=,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,VU,LC,LC,LC,-,RE,14.72 14.312 7.121,14.72,Fraxinetalia,14.312,Piceion excelsae,7.121,Caricion remotae,,,,
Trientalis_europaea,Trientalis,Trientalis europaea,0,1,6046,Trientalis europaea,Primulaceae,424200,60.8.1,836,2336,1267,ZDSF,2.5,I,3,I,3,I,3.5,I,3,2,I,2,I,,,5,I,1,I,g,s,1,Rk,css,Bo,Au,zw,,05-ao_t,5 6 7 8,4,ca au,-,4,2,e,B3,5.1 5.2 7.1 9.1,1,I,1,,VU,-,-,-,-,-,-,VU,CR,VU,-,VU,EN,EN,-,EN,14.312,14.312,Piceion excelsae,NA,,,,,812,,
Veronica_montana,Veronica,Veronica montana,0,1,6302,Veronica montana,Scrophulariaceae,442300,114.17.16,1788,2612,1500,ZDSF,3.5,I,2,I,2,I,4,I,3,3,II,4,I,,,3,I,1,I,c-h,w,1,Rs,crs,Bo,Ao,zw,p1,05-juin,5 6,2,me my hm,-,4,3,e,D3,2.3 4.1 9.2,1,I,2,<,LC,LC,LC,LC,LC,LC,LC,LC,VU,LC,RE,EN,RE,RE,-,-,14.731 14.721,14.731,Fagion sylvaticae,14.721,Alnion incanae,,,,,,
Veronica_polita,Veronica,Veronica polita,0,1,6271,Veronica polita,Scrophulariaceae,442800,114.17.31,1808,2630,1513,ZDSF,3.5,II,4,I,4,I,2,I,1,4,I,3,I,s,,3,I,1,I,t,s w,1,-,crr,My,Kv,zw,,03-oct,3 4 5 6 7 8 9 10,8,au ps,-,4,2,,C2b,2.1 2.2 2.7 3.2,7,A,4,,LC,LC,LC,LC,NT,NT,NT,LC,NT,LC,LC,LC,NT,NT,RE,RE,2.31,NA,,NA,,2.31,Papaveretalia rhoeadis,,,,
Glechoma_hederacea,Glechoma,Glechoma hederacea,0,1,2716,Glechoma hederacea,Lamiaceae,190600,108.14.1.1,1641,2544,-,ZDSF,3.5,I,3,I,3,II,3.5,I,2,4,II,3,I,,m,3,I,1,I,h,w,1,Rs,crs,My En,Ao,ve-di,d,04-mai,4 5,2,me my,4,5,4,tg h e,B4,2.3 2.6 7.4 9.2,8,I,3,=,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,11.2 5.131 14.721,11.2,Molinio-Arrhenatheretea,5.131,Geo-Alliarion,14.721,Alnion incanae,,379,,
Gnaphalium_uliginosum,Gnaphalium,Gnaphalium uliginosum,0,1,2743,Gnaphalium uliginosum,Asteraceae,192700,124.10.5,2071,3051,1753,ZDSF,4,I,2,I,4,I,4,I,3,2,I,3,I,s,,3,I,1,I,t,s,1,-,rrr,Me My,Kv,ve,p1,06-sept,6 7 8 9,4,au me,-,5,2,,B6,1.4 2.1 2.5 2.6,7,I,3,,NT,VU,VU,VU,NT,NT,NT,VU,VU,VU,EN,VU,VU,VU,VU,VU,2.21,NA,,NA,,2.21,Nanocyperetalia flavescentis,,,,
Linum_catharticum,Linum,Linum catharticum,0,1,3425,Linum catharticum,Linaceae,241100,83.1.15,1342,1914,958,ZDSF,4,I,3,I,3,II,2.5,II,3,4,II,2,I,s,m,3,II,1,I,k-t,s w,1,Rs,rss,Bo My,Kv,zw,p3,05-juil,5 6 7,3,,2,5,2,mg h,B6,6.2 6.3 6.5 6.7,5,I,2,,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,9.135 7.231 10.21,9.135,Mesobromion,7.231,Caricion davallianae,10.21,Seslerietalia caeruleae,,,,
Luzula_campestris,Luzula,Luzula campestris,0,1,3519,Luzula campestris,Juncaceae,246100,137.2.1,2462,613,2157,ZDSF,3.5,I,3,I,4,I,2.5,II,2,2,II,2,I,,m,5,II,1,II,h,t,1,Rs,crs,My En,Au Sr,zw,,03-mai,3 4 5,3,an,3,5,3,e,B6b,2.6 6.4 6.7 9.2,6,I,2,*,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,9.135 10.1 12.211,9.135,Mesobromion,10.1,Nardetea strictae,12.211,Genistion,,415,,
Euphrasia_rostkoviana,Euphrasia,Euphrasia rostkoviana,0,1,2340,Euphrasia rostkoviana,Scrophulariaceae,163500,114.22.1.1,1833,2717,1525,ZDSF,3,II,3,I,4,II,4,II,3,3,I,2,I,,m,5,II,1,I,t.hp,s,1,-,rrs,Bo,Kv,zw,,06-oct,6 7 8 9 10,5,,3,2*,3,tg h,D3,2.6 5.1 6.3 9.1,5,I,2,*,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,11.242 11.241 11.233,11.242,Triseto-Polygonion bistortae,11.241,Arrhenatherion elatioris,11.233,Calthion palustris,,,,
Achillea_macrophylla,Achillea,Achillea macrophylla,0,1,26,Achillea macrophylla,Asteraceae,1600,124.31.7,2109,3180,1786,ZDSF,2,I,2,I,3,I,3,I,1,3,I,4,I,,,5,I,1,I,h,s,1,Rs,ccs,Bo,Au,ve,p3,06-ao_t,6 7 8,3,au en,2,,2,h,E2d,7.2 8.1 9.1 9.2,1,I,1,=,LC,-,-,-,-,-,-,LC,LC,LC,LC,LC,LC,LC,LC,LC,13.411 11.514 14.73111,13.411,Alnion viridis,11.514,Adenostylion,14.73111,Streptopo-Fagetum,,,,
Adoxa_moschatellina,Adoxa,Adoxa moschatellina,0,1,95,Adoxa moschatellina,Adoxaceae,6300,121.1.1,1892,2837,1656,ZDSF,3,II,3,I,2,II,3.5,II,2,4,I,3,I,,m,3,II,1,I,g,v,1,Rn,crs,Dy En,Au,zw,,03-mai,3 4 5,3,ca my hm (au?),1,,3,,B3,7.2 8.1 9.2,1,I,2,,LC,LC,LC,NT,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,14.73 14.735,14.73,Fagetalia sylvaticae,14.735,Tilio-Acerion,,,,,,
Alisma_plantago_aquatica,Alisma,Alisma plantago-aquatica,0,1,302,Alisma plantago-aquatica,Alismataceae,21900,126.3.1,2377,150,2020,ZDSF,4,I,3,I,4,I,5,I,3,3,I,3,I,ss,,1,II,1,I,g,s,1,Rs Tu,crs,Hy Dy,As,zw,,06-sept,6 7 8 9,4,,-,,2,tg e,B4,1.1 1.2 1.3 2.5,4,I,2,,LC,LC,NT,LC,LC,LC,LC,LC,NT,LC,VU,VU,LC,LC,CR,RE,6.1,6.1,Phragmito-Magnocaricetea,NA,,,,,,,
Allium_flavum,Allium,Allium flavum,0,1,312,Allium flavum,Liliaceae,-,143.23.21,-,-,-,,4,I,4,I,5,I,1,I,1,4,I,2,I,,,3,I,1,I,g,s,1,Zw,crs,Bo At,Bz,zw,,06-juil,6 7,2,??,2,,1,tg,D1,3.1 6.2 7.3 9.3,-,I/N,2,=,,,,,,,,,,,,,,,,,9.11,NA,,NA,,9.11,Festucetalia valesiacae,c m,,,
Allium_oleraceum,Allium,Allium oleraceum,0,1,323,Allium oleraceum,Liliaceae,23600,143.23.20,2867,677,2099,ZDSF,3.5,I,3,I,3,II,2.5,I,2,3,I,3,I,,,3,I,1,II,g,s,1,Zw,crs,Bo At,Bz Sb,zw,,07-ao_t,7 8,2,of,2,,2,tg,B6,2.1 3.1 6.2 7.4,7,I/A,3,,LC,LC,LC,LC,LC,LC,LC,LC,NT,LC,LC,LC,LC,LC,LC,LC,9.1,9.1,Festuco-Brometea,NA,,,,,,,
Allium_schoenoprasum,Allium,Allium schoenoprasum,0,1,336,Allium schoenoprasum,Liliaceae,24200,143.23.9,2868,668,2096,ZDSF,2.5,II,3,I,4,II,4,I,3,4,I,3,II,,,3,I,1,I,g,t,1,Zw,crs,Bo At,Bz,zw,,05-ao_t,5 6 7 8,4,au my hm,3,,3,tg e,B3,3.3 4.1 6.3 6.5,5,I/A,3,=,LC,LC,NT,LC,NT,NT,NT,LC,LC,LC,LC,LC,LC,LC,LC,-,11.244 11.231 7.23,11.244,Poion alpinae,11.231,Molinion,7.23,Caricetalia davallianae,,,H,
Cardamine_amara,Cardamine,Cardamine amara,0,1,1132,Cardamine amara,Brassicaceae,78350,54.22.9.1,-,-,-,ZDSF,3.5,II,3,I,4,II,5,I,2,3,I,3,I,,m,3,II,1,I,g,w,1,Rs,crs,Au,Au,zw,,05-juin,5 6,2,,2,,4,tg h e,B6,4.1 4.2 9.2,-,I,2,=,,,,,,,,,,,,,,,,,7.11 14.72205 14.712,7.11,Montio-Cardaminetalia,14.72205,Pruno-Fraxinetum,14.712,Salicion albae,,,,
Cardamine_udicola,Cardamine,Cardamine udicola,0,1,1155,Cardamine udicola,Brassicaceae,80600,54.22.14,661,1370,-,ZDSF,3.5,I,4,I,4,I,4,I,3,3,I,3,I,,,5,I,1,I,h,w,1,Rs,crs,Au,Sw,zw,,04-juin,4 5 6,3,,2,,2,tg e,D3,1.3 4.2 5.1 6.3,5,I,2,,LC,LC,LC,VU,LC,LC,LC,LC,LC,LC,NT,VU,VU,VU,DD,DD,6.112,NA,,NA,,6.112,Magnocaricion,f,,,
Carex_brizoides,Carex,Carex brizoides,0,1,1215,Carex brizoides,Cyperaceae,84300,138.17.14,2520,482,2434,ZDSF,4,I,4,I,3,I,3.5,I,3,2,II,2,I,,m,3,I,1,II,g-h,s,1,Rs,ccs,Me Au,Au Sr,zw,,05-juin,5 6,2,,2,,5,e,D3,2.6 4.2 7.4 9.2,1,I,2,=,LC,NT,NT,DD,LC,NT,LC,NT,VU,NT,RE,EN,LC,LC,DD,LC,14.722 14.731,14.722,Fraxinion excelsioris,14.731,Fagion sylvaticae,,,,,,
Carex_capillaris,Carex,Carex capillaris,0,1,1226,Carex capillaris,Cyperaceae,84700,138.17.43,2564,536,2461,ZDSF,1.5,I,4,I,4,I,3.5,II,3,4,I,1,I,,,3,I,1,I,h,w,1,Rs,css,Me,Sr,mo,,06-juil,6 7,2,an,-,,2,e,B5,2.5 4.1 5.1 6.5,2,I,1,=,LC,-,-,-,-,-,-,LC,LC,LC,LC,LC,LC,NT,LC,LC,10.211 7.231 7.232,10.211,Seslerion caeruleae,7.231,Caricion davallianae,7.232,Caricion atrofusco-saxatilis,,,,
Carex_heleonastes,Carex,Carex heleonastes,0,1,1275,Carex heleonastes,Cyperaceae,88500,138.17.28,2538,486,2446,ZDSF,3,II,2,I,4,I,4.5,I,3,2,I,1,I,,,5,I,1,I,h,s,1,Rs,css,Me,Sr,zw,,05-juil,5 6 7,3,an,-,,2,e,B3a,5.1 5.2,5,I,2,,EN,EN,EN,-,RE,-,RE,EN,DD,EN,-,-,-,-,-,-,7.212,NA,,NA,,7.212,Caricion lasiocarpae,,,,
Carex_pauciflora,Carex,Carex pauciflora,0,1,1315,Carex pauciflora,Cyperaceae,92100,138.17.105,2508,456,2512,ZDSF,2,I,2,I,4,I,4.5,I,2,1,I,1,I,,,5,I,1,I,g,w,1,Rs,sss,Ep,Ao Sr,zw,,05-juin,5 6,2,an,-,,2,e,B3a,5.1 5.2,5,I,1,,NT,VU,VU,-,CR,CR,CR,NT,NT,NT,VU,NT,VU,VU,VU,VU,12.111 12.112,12.111,Sphagnion medii,12.112,Oxycocco-Empetrion hermaphroditi,,,,,,
Carex_pulicaris,Carex,Carex pulicaris,0,1,1322,Carex pulicaris,Cyperaceae,93100,138.17.108,2507,458,2514,ZDSF,3,I,2,I,4,I,4,I,3,3,I,2,I,,,5,I,1,I,h,t,1,Rs,css,Ep Me,Au Sr,zw,,05-juin,5 6,2,an,2,,3,e,D2,4.1 5.1,5,I,2,,NT,NT,NT,-,VU,VU,VU,NT,NT,NT,DD,VU,EN,EN,CR,-,7.231 7.221,7.231,Caricion davallianae,7.221,Caricion fuscae,,,,,,
Centaurium_pulchellum,Centaurium,Centaurium pulchellum,0,1,1433,Centaurium pulchellum,Gentianaceae,101300,98.3.4,1505,2362,1281,ZDSF,3.5,I,3,I,4,I,3,II,3,4,I,3,I,s,,1,I,1,I,t,s,1,-,rrs,Bo,Kv,zw,,06-oct,6 7 8 9 10,5,au en,1,,1,e,B6,1.4 2.1 2.5 6.3,5,I,3,,VU,VU,VU,EN,VU,VU,VU,VU,EN,VU,VU,EN,VU,VU,-,RE,2.211,2.211,Nanocyperion flavescentis,NA,,,,,,,
Circaea_lutetiana,Circaea,Circaea lutetiana,0,1,1563,Circaea lutetiana,Onagraceae,113500,72.1.1,1290,2100,1088,ZDSF,3.5,I,2,I,2,II,3.5,I,2,4,II,4,I,,m,3,I,1,I,g,s,1,Rk,ccr,Ep,Au,zw,p1,06-ao_t,6 7 8,3,my,-,,4,,B4c,2.3 2.6 9.1 9.2,7,I,3,=,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,NT,LC,LC,LC,LC,LC,14.73 14.735 14.721,14.73,Fagetalia sylvaticae,14.735,Tilio-Acerion,14.721,Alnion incanae,,73,,
Cladium_mariscus,Cladium,Cladium mariscus,0,1,1589,Cladium mariscus,Cyperaceae,115700,138.12.1,2600,450,2416,ZDSF,4.5,I,2,I,4,I,5,I,3,5,I,3,I,s,,5,I,1,I,g,w,1,Rh,ccs,Hy,Au,zw,,06-juil,6 7,2,an,1,,4,e,B6a,1.3 5.1 6.3,5,I,2,,NT,EN,EN,-,NT,NT,NT,VU,VU,VU,EN,CR,CR,CR,-,-,6.111 6.112,6.111,Phragmition communis,6.112,Magnocaricion,,,,,,
Colchicum_autumnale,Colchicum,Colchicum autumnale,0,1,1619,Colchicum autumnale,Liliaceae,117700,143.8.2,2841,641,2066,ZDSF,3,II,3,I,3,II,3,I,2,4,II,3,I,,m,3,I,1,I,g,s,1,Sk,crs,En My,Kv,fa zw,,08-oct,8 9 10,3,,3,,2,gg h,D3,2.6 6.3 6.5 9.2,8,I,2,,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,11.23 11.241 14.722,11.23,Molinietalia caeruleae,11.241,Arrhenatherion elatioris,14.722,Fraxinion excelsioris,,,,
Crocus_albiflorus,Crocus,Crocus albiflorus,0,1,1751,Crocus albiflorus,Iridaceae,125800,145.4.3,2914,701,2130,ZDSF,2.5,I,3,I,4,I,3,I,2,4,II,4,I,,,3,I,1,I,g,v,1,Sk,css,My,Sr,zw,,03-juil,3 4 5 6 7,5,me,3,,2,mg,E1,2.4 6.3 6.5 9.2,2,I/N,2,=,LC,LC,LC,-,VU,VU,EN,LC,LC,LC,LC,LC,LC,LC,LC,LC,11.244 10.412 11.242,11.244,Poion alpinae,10.412,Nardion strictae,11.242,Triseto-Polygonion bistortae,,,,
Dactylorhiza_cruenta,Dactylorhiza,Dactylorhiza cruenta,0,1,1854,Dactylorhiza cruenta,Orchidaceae,132100,148.17.3,2978,776,2544,ZDSF,2,I,4,I,4,I,4.5,I,2,5,I,2,I,,,5,I,1,I,g,s,1,Wk,crs,Me,Bz,zw,,06-juil,6 7,2,en,2,,2,e,B4b,4.1 5.1 6.3,5,I,2,=,VU,-,-,-,-,-,-,CR,CR,-,EN,VU,CR,-,-,CR,7.231,NA,,NA,,7.231,Caricion davallianae,,,,
Dactylorhiza_incarnata,Dactylorhiza,Dactylorhiza incarnata,0,1,1856,Dactylorhiza incarnata,Orchidaceae,132350,148.17.2.1,2979,775,2543,ZDSF,3.5,I,3,I,4,I,4.5,I,3,4,II,2,I,s,,5,I,1,I,g,s,1,Wk,crs,Me,Bz,zw,,05-juin,5 6,2,me,2,,2,e,B4b,4.1 5.1 6.3,5,I,2,,NT,NT,NT,-,NT,VU,NT,NT,NT,NT,VU,NT,EN,EN,-,-,7.231 11.231,7.231,Caricion davallianae,11.231,Molinion,,,,300,,
Dactylorhiza_lapponica,Dactylorhiza,Dactylorhiza lapponica,0,1,1857,Dactylorhiza lapponica,Orchidaceae,132500,148.17.6,2976,-,-,ZDSF,2.5,I,3,I,4,I,4,I,3,3,II,3,I,,,5,I,1,I,g,s,1,Wk,crs,Me,Bz,zw,,06-juil,6 7,2,en,2,,2,e,D5,4.1 4.2 5.1 9.1,5,I,2,,NT,CR,CR,-,CR,-,CR,NT,VU,NT,CR,NT,EN,EN,EN,-,7.2,NA,,NA,,7.2,Scheuchzerio-Caricetea fuscae,,680,,
Dactylorhiza_maculata,Dactylorhiza,Dactylorhiza maculata,0,1,1858,Dactylorhiza maculata,Orchidaceae,132600,148.17.7,2973,777,2547,ZDSF,3,I,2,I,4,I,4,I,3,1,I,2,I,,,5,II,1,I,g,s,1,Wk,crs,Me,Bz,zw,,05-juin,5 6,2,ca my me,2,,2,e,B4b,2.6 5.1 6.3 9.2,5,I,2,,CR,CR,CR,-,-,-,-,-,-,-,-,-,-,-,-,-,7.2 11.23 14.73,7.2,Scheuchzerio-Caricetea fuscae,11.23,Molinietalia caeruleae,14.73,Fagetalia sylvaticae,,,,
Dactylorhiza_majalis,Dactylorhiza,Dactylorhiza majalis,0,1,1859,Dactylorhiza majalis,Orchidaceae,132700,148.17.4,2975,781,2545,ZDSF,2.5,II,3,I,4,I,4.5,I,3,4,II,3,I,,,5,I,1,I,g,s,1,Wk,crs,Me,Bz,zw,,05-juil,5 6 7,3,me,2,,2,e,D3,4.1 5.1 6.3 9.2,5,I,2,,LC,LC,LC,NT,LC,NT,LC,LC,LC,LC,LC,LC,NT,NT,NT,NT,11.23,11.23,Molinietalia caeruleae,NA,,,,,,,
Dactylorhiza_sambucina,Dactylorhiza,Dactylorhiza sambucina,0,1,1865,Dactylorhiza sambucina,Orchidaceae,132800,148.17.1,2981,780,2542,ZDSF,3,II,4,I,4,I,2.5,I,3,2,II,3,I,,,3,I,1,I,g,s,1,Wk,crs,Me,Bz,zw,,05-juin,5 6,2,me,2,,1,e,B6b,6.2 6.4 6.5 7.4,6,I,2,=,NT,VU,VU,-,RE,RE,-,NT,NT,EN,NT,EN,NT,NT,-,VU,9.13 10.211 10.4,9.13,Brometalia erecti,10.211,Seslerion caeruleae,10.4,Juncetea trifidi,,,,
Dactylorhiza_traunsteineri,Dactylorhiza,Dactylorhiza traunsteineri,0,1,1863,Dactylorhiza traunsteineri,Orchidaceae,132900,148.17.5,2977,779,2546,ZDSF,3,I,2,I,4,I,4,I,3,4,II,3,I,,,5,I,1,I,g,s,1,Wk,crs,Me,Bz,zw,,05-juil,5 6 7,3,ca my hm?,2,,2,e,F1,4.1 5.1 5.2 6.3,5,I,2,,NT,EN,EN,EN,VU,EN,VU,NT,NT,NT,VU,VU,VU,DD,-,VU,7.2 11.231,7.2,Scheuchzerio-Caricetea fuscae,11.231,Molinion,,,,,,
Dianthus_superbus,Dianthus,Dianthus superbus,0,1,1938,Dianthus superbus,Caryophyllaceae,136800,38.29.20.1,401,985,339,ZDSF,3.5,I,3,I,3,I,3.5,I,3,4,II,2,I,,,5,I,1,I,h,w,1,Rs,crs,Bo,Sr,zw,p9,07-ao_t,7 8,2,,3,,2,,B4,5.1 6.3 9.2,-,I,2,*,,,,,,,,,,,,,,,,,11.231,NA,,NA,,11.231,Molinion,i k l,,,
Drosera_anglica,Drosera,Drosera anglica,0,1,2015,Drosera anglica,Droseraceae,142200,47.1.3,518,1444,608,ZDSF,3,II,3,I,4,I,4.5,I,2,3,II,1,I,,,5,I,1,I,h.ff,t,1,Rs,sss,Me,Sw,cl zw,,07-ao_t,7 8,2,au,-,,1,mg h,B3a,5.1 5.2 6.3,5,I,2,,VU,EN,EN,-,VU,EN,VU,VU,VU,VU,EN,VU,VU,VU,VU,-,7.21,NA,,NA,,7.21,Scheuchzerietalia palustris,,139,,
